Make__c,Model__c,Cylinders__c,Displacement__c,Horsepower__c,ZeroTo60__c,MSRP__c
Ford ,Mustang GT,8,5 L,460,4.5,"$35,630.00"
Dodge,Challenger R/T,8,5.7 L,372,5.1,"$34,995.00"
